781364,Ljubljana,Ljubljana,SI,46.05108000000000000,14.50513000000000000
206555,Maribor,Maribor,SI,46.55472000000000000,15.64667000000000000
141850,Koper,Koper,SI,45.54694000000000000,13.72944000000000000
114808,Celje,Celje,SI,46.23092000000000000,15.26044000000000000
57812,Nova Gorica,Nova Gorica,SI,45.95604000000000000,13.64837000000000000
55486,Novo mesto,Novo Mesto,SI,45.80397000000000000,15.16886000000000000
51208,Murska Sobota,Murska Sobota,SI,46.66250000000000000,16.16639000000000000
37106,Velenje,Velenje,SI,46.35917000000000000,15.11028000000000000
31149,Portorož,Portoroz,SI,45.51429000000000000,13.59206000000000000
29355,Ptuj,Ptuj,SI,46.42005000000000000,15.87018000000000000
28673,Ajdovščina,Ajdovscina,SI,45.88601000000000000,13.90946000000000000
22868,Postojna,Postojna,SI,45.77435000000000000,14.21528000000000000
21265,Slovenj Gradec,Slovenj Gradec,SI,46.51028000000000000,15.08056000000000000
20994,Izola,Izola,SI,45.53694000000000000,13.66194000000000000
17089,Kranj,Kranj,SI,46.23887000000000000,14.35561000000000000
14070,Slovenska Bistrica,Slovenska Bistrica,SI,46.39278000000000000,15.57444000000000000
13772,Žalec,Zalec,SI,46.25151000000000000,15.16482000000000000
12069,Krško,Krsko,SI,45.95915000000000000,15.49167000000000000
11192,Vienna,Vienna,AT,48.20849000000000000,16.37208000000000000
11039,Venice,Venice,IT,45.43713000000000000,12.33265000000000000
10869,Slovenske Konjice,Slovenske Konjice,SI,46.33667000000000000,15.42583000000000000
10768,Sežana,Sezana,SI,45.70924000000000000,13.87333000000000000
10107,Brežice,Brezice,SI,45.90333000000000000,15.59111000000000000
7799,Ravne na Koroškem,Ravne na Koroskem,SI,46.54306000000000000,14.96917000000000000
7746,Ljutomer,Ljutomer,SI,46.52083000000000000,16.19750000000000000
7245,Graz,Graz,AT,47.06667000000000000,15.45000000000000000
6717,Munich,Munich,DE,48.13743000000000000,11.57549000000000000
6403,Lendava,Lendava,SI,46.56494000000000000,16.45091000000000000
5980,Belgrade,Belgrade,RS,44.80401000000000000,20.46513000000000000
5964,Vipava,Vipava,SI,45.84667000000000000,13.96306000000000000
5693,Lucija,Lucija,SI,45.50526000000000000,13.60240000000000000
5677,Zagreb,Zagreb,HR,45.81444000000000000,15.97798000000000000
5231,Dravograd,Dravograd,SI,46.58806000000000000,15.01917000000000000
4647,Cerknica,Cerknica,SI,45.79306000000000000,14.36250000000000000
4623,Gornja Radgona,Gornja Radgona,SI,46.67333000000000000,15.99222000000000000
4455,Šentjur,Sentjur,SI,46.21722000000000000,15.39750000000000000
4348,Piran,Piran,SI,45.52778000000000000,13.57056000000000000
4244,Trebnje,Trebnje,SI,45.90417000000000000,15.02167000000000000
4108,Mozirje,Mozirje,SI,46.33944000000000000,14.96333000000000000
4105,Jesenice,Jesenice,SI,46.43056000000000000,14.06694000000000000
3980,Prevalje,Prevalje,SI,46.54694000000000000,14.92083000000000000
3489,Bled,Bled,SI,46.36917000000000000,14.11361000000000000
3336,Radovljica,Radovljica,SI,46.34444000000000000,14.17444000000000000
3303,Črnomelj,Crnomelj,SI,45.57111000000000000,15.18889000000000000
3169,Ilirska Bistrica,Ilirska Bistrica,SI,45.57878000000000000,14.30652000000000000
3002,Šempeter v Savinj. Dolini,Sempeter v Savinj. Dolini,SI,46.25639000000000000,15.12194000000000000
2948,Treviso,Treviso,IT,45.66908000000000000,12.23614000000000000
2814,Vučja Vas,Vucja Vas,SI,46.59944000000000000,16.10750000000000000
2777,Tolmin,Tolmin,SI,46.18304000000000000,13.73321000000000000
2708,Milano,Milano,IT,45.46427000000000000,9.18951000000000000
2686,Rogaška Slatina,Rogaska Slatina,SI,46.23750000000000000,15.63972000000000000
2658,Trieste,Trieste,IT,45.64325000000000000,13.79030000000000000
2638,Metlika,Metlika,SI,45.64722000000000000,15.31417000000000000
2622,Lenart v Slov. Goricah,Lenart v Slov. Goricah,SI,46.57611000000000000,15.83139000000000000
2585,Ormož,Ormoz,SI,46.41139000000000000,16.15444000000000000
2576,Šentjernej,Sentjernej,SI,45.84000000000000000,15.33611000000000000
2535,Polzela,Polzela,SI,46.28333000000000000,15.06667000000000000
2416,Beltinci,Beltinci,SI,46.60528000000000000,16.24056000000000000
2340,Budapest,Budapest,HU,47.49801000000000000,19.03991000000000000
2178,Idrija,Idrija,SI,46.00278000000000000,14.03056000000000000
2123,Radenci,Radenci,SI,46.64201000000000000,16.03781000000000000
1934,Radlje ob Dravi,Radlje ob Dravi,SI,46.61417000000000000,15.22639000000000000
1921,Pula,Pula,HR,44.86833000000000000,13.84806000000000000
1819,Ronchi dei Legionari,Ronchi dei Legionari,IT,45.82735000000000000,13.50417000000000000
1726,Kočevje,Kocevje,SI,45.64333000000000000,14.86333000000000000
1535,Šmarje pri Jelšah,Smarje pri Jelsah,SI,46.22722000000000000,15.51917000000000000
1507,Pivka,Pivka,SI,45.68292000000000000,14.19588000000000000
1483,Mokronog,Mokronog,SI,45.93417000000000000,15.14083000000000000
1476,Logatec,Logatec,SI,45.91444000000000000,14.22583000000000000
1468,Domžale,Domzale,SI,46.13774000000000000,14.59371000000000000
1391,Šentrupert,Sentrupert,SI,46.25000000000000000,15.06667000000000000
1387,Brno,Brno,CZ,49.19522000000000000,16.60796000000000000
1347,Vrhnika,Vrhnika,SI,45.96350000000000000,14.29484000000000000
1293,Trbovlje,Trbovlje,SI,46.15500000000000000,15.05333000000000000
1282,Lesce,Lesce,SI,46.36111000000000000,14.15778000000000000
